Date Timed DHT22, Temperature DHT22
2020-08-23 22:25:17,29.7
2020-08-23 22:19:46,29.8
2020-08-23 22:09:46,30.2
2020-08-23 22:08:40,30.2
2020-08-23 21:58:40,29.8
2020-08-23 21:48:40,29.8
2020-08-23 21:38:40,30.1
2020-08-23 21:28:40,30.8
2020-08-23 21:18:41,30.7
2020-08-23 21:08:40,30.7
2020-08-23 20:58:43,30.8
2020-08-23 20:48:41,31.0
2020-08-23 20:40:42,31.0
2020-08-23 20:30:42,30.6
2020-08-23 20:24:24,30.6
2020-08-23 20:14:24,30.3
2020-08-23 20:04:24,29.8
2020-08-23 19:54:24,29.7
2020-08-23 19:44:24,29.6
2020-08-23 19:34:24,29.3
2020-08-23 19:24:24,29.4
2020-08-23 19:14:24,29.4
2020-08-23 19:04:24,29.2
2020-08-23 18:54:24,28.6
2020-08-23 18:44:24,28.2
2020-08-23 18:34:24,28.3
2020-08-23 18:24:24,28.2
2020-08-23 18:14:24,27.7
2020-08-23 18:04:24,28.3
2020-08-23 17:54:24,29.1
2020-08-23 17:51:52,28.9
2020-08-23 17:41:52,28.1
2020-08-23 17:31:52,28.4
2020-08-23 17:21:55,28.3
2020-08-23 17:20:17,28.3
2020-08-23 17:10:17,28.4
2020-08-23 17:03:13,28.1
2020-08-23 16:53:13,28.2
2020-08-23 16:43:13,28.0
2020-08-23 16:33:13,28.0
2020-08-23 16:23:17,28.0
2020-08-23 16:13:13,27.1
2020-08-23 16:03:13,29.2
2020-08-23 15:53:13,28.9
2020-08-23 15:43:13,28.5
2020-08-23 15:33:13,28.1
2020-08-23 15:23:13,28.0
2020-08-23 15:13:13,28.5
2020-08-23 15:03:13,28.9
2020-08-23 14:52:52,29.3
2020-08-23 14:42:52,29.8
2020-08-23 14:32:52,30.0
2020-08-23 14:22:52,29.5
2020-08-23 14:12:52,29.3
2020-08-23 14:02:52,29.1
2020-08-23 13:52:52,29.3
2020-08-23 13:42:52,28.7
2020-08-23 13:36:35,28.9
2020-08-23 13:29:50,29.2
2020-08-23 13:19:50,29.5
2020-08-23 13:09:50,29.7
2020-08-23 12:59:52,29.7
2020-08-23 12:49:50,29.0
2020-08-23 12:39:50,29.2
2020-08-23 12:29:50,29.8
2020-08-23 12:19:50,29.6
2020-08-23 12:09:50,29.2
2020-08-23 11:59:50,28.9
2020-08-23 11:49:50,29.3
2020-08-23 11:39:50,29.3
2020-08-23 11:29:50,29.6
2020-08-23 11:19:50,28.9
2020-08-23 11:09:50,29.2
2020-08-23 10:59:50,28.9
2020-08-23 10:49:50,29.3
2020-08-23 10:39:50,29.2
2020-08-23 10:29:50,29.1
2020-08-23 10:19:51,28.6
2020-08-23 10:09:52,29.2
2020-08-23 09:59:52,28.6
2020-08-23 09:49:39,28.6
2020-08-23 09:39:39,28.4
2020-08-23 09:29:39,28.4
2020-08-23 09:19:39,28.7
2020-08-23 09:09:39,29.0
2020-08-23 09:04:17,28.9
2020-08-23 08:59:25,26.8
2020-08-23 08:50:38,29.5
2020-08-23 08:42:43,30.0
2020-08-23 08:32:43,30.4
2020-08-23 08:22:43,30.2
2020-08-23 08:12:43,29.9
2020-08-23 08:02:43,30.2
2020-08-23 07:52:43,30.3
2020-08-23 07:42:43,30.0
2020-08-23 07:32:43,29.8
2020-08-23 07:22:43,29.6
2020-08-23 07:12:43,29.5
2020-08-23 07:05:52,29.4
2020-08-23 06:55:52,29.6
2020-08-23 06:45:52,29.2
2020-08-23 06:35:52,29.5
2020-08-23 06:25:52,29.3
2020-08-23 06:15:52,29.4
2020-08-23 06:05:53,29.2
2020-08-23 05:55:53,28.8
2020-08-23 05:45:52,29.3
2020-08-23 05:35:52,29.2
2020-08-23 05:25:52,29.3
2020-08-23 05:15:52,29.1
2020-08-23 05:05:52,29.1
2020-08-23 04:57:44,29.0
2020-08-23 04:47:44,29.1
2020-08-23 04:39:43,29.1
2020-08-23 04:29:43,28.7
2020-08-23 04:19:43,29.2
2020-08-23 04:09:43,28.0
2020-08-23 03:59:44,28.4
2020-08-23 03:49:44,28.3
2020-08-23 03:39:39,27.8
2020-08-23 03:29:39,28.3
2020-08-23 03:19:40,29.1
2020-08-23 03:09:39,30.2
2020-08-23 02:59:39,30.4
2020-08-23 02:56:06,30.4
2020-08-23 02:46:07,30.2
2020-08-23 02:36:08,30.0
2020-08-23 02:26:07,29.9
2020-08-23 02:16:07,30.2
2020-08-23 02:06:07,30.0
2020-08-23 01:56:07,30.0
2020-08-23 01:54:02,30.0
2020-08-23 01:44:02,29.8
2020-08-23 01:34:03,29.8
2020-08-23 01:24:02,29.8
2020-08-23 01:14:02,29.6
2020-08-23 01:04:02,29.0
2020-08-23 00:54:03,28.6
2020-08-23 00:44:02,29.1
2020-08-23 00:34:02,28.5
2020-08-23 00:24:02,29.8
2020-08-23 00:14:03,30.2
2020-08-23 00:04:02,31.1
2020-08-22 23:54:02,31.3
2020-08-22 23:44:02,31.3
2020-08-22 23:34:02,31.5
2020-08-22 23:33:14,31.5
2020-08-22 23:23:14,31.6
2020-08-22 23:13:15,31.2
2020-08-22 23:03:14,31.3
2020-08-22 22:53:14,31.4
2020-08-22 22:43:15,31.3
2020-08-22 22:33:14,31.2
2020-08-22 22:26:04,30.9
2020-08-22 22:16:04,30.1
2020-08-22 22:06:05,29.6
2020-08-22 21:56:04,30.6
2020-08-22 21:46:04,31.3
2020-08-22 21:41:13,31.0
2020-08-22 21:31:12,31.1
2020-08-22 21:21:12,32.4
2020-08-22 21:11:12,32.6
2020-08-22 21:01:12,32.6
2020-08-22 20:51:13,32.5
2020-08-22 20:41:12,32.2
2020-08-22 20:33:31,32.3
2020-08-22 20:23:31,32.2
2020-08-22 20:13:31,32.2
2020-08-22 20:03:32,31.9
